 
"","PM04936AA"
"","Producto bruto interno por tipo de gasto (millones S/) - Demanda Interna"
2002,191068.158048148
2003,202805.710184927
2004,217034.579943504
2005,229155.4857176
2006,260093.583727442
2007,296927.752260614
2008,353076.715454201
2009,354351.988148835
2010,409440.250753858
2011,451098.167309214
2012,500392.814574433
2013,554324.491803019
2014,591602.413313412
2015,637288.708801204
2016,674350.665385807
2017,703593.604872554
2018,743727.195460162
2019,779849.807216532
2020,723575.969498517
2021,865336.350278511
2022,948311.72656208
2023,984731.605711588
2024,1048874.4445047
2025,1118990.22651199
		
