"año","tipo_cambio","demanda_interna","variacion","color_variacion"
2003,3.47768822150072,202805.710184927,-1.07166357422533,"negative"
2004,3.41224819860092,217034.579943504,-1.88171045625133,"negative"
2005,3.29497727177793,229155.4857176,-3.43676426794138,"negative"
2006,3.27311008394944,260093.583727442,-0.663652159782313,"negative"
2007,3.12789456501101,296927.752260614,-4.43662190436346,"negative"
2008,2.92378217070454,353076.715454201,-6.52555225453232,"negative"
2009,3.01080048226627,354351.988148835,2.97622416723204,"positive"
2010,2.82443598212428,409440.250753858,-6.18986549390051,"negative"
2011,2.75349086158248,451098.167309214,-2.51183319398309,"negative"
2012,2.63697354497354,500392.814574433,-4.23162169283451,"negative"
2013,2.70102023050049,554324.491803019,2.4287951484774,"positive"
2014,2.83740194805195,591602.413313412,5.04926679228126,"positive"
2015,3.18278890873016,637288.708801204,12.1726483241241,"positive"
2016,3.37299762094631,674350.665385807,5.97616485637553,"positive"
2017,3.2588121860839,703593.604872554,-3.38528062259276,"negative"
2018,3.28507164881902,743727.195460162,0.805798592728224,"positive"
2019,3.33518389249639,779849.807216532,1.52545359841345,"positive"
2020,3.49268073593074,723575.969498517,4.72228364345042,"positive"
2021,3.87696421591693,865336.350278511,11.0025367057715,"positive"
2022,3.8309784440515,948311.72656208,-1.18612835467078,"negative"
2023,3.74026227243284,984731.605711588,-2.36796350967514,"negative"
2024,3.74956678533455,1048874.4445047,0.248766322358951,"positive"
2025,3.56344094231792,1118990.22651199,-4.96392926629851,"negative"
